"id","name","coordinates","floor_id","type_id"
4171,"Open Office Space","((60.4483169677291698,22.2946665004565148),(60.4483535977583131,22.294728639171808),(60.4483556205217312,22.2947862438013544),(60.448318177577562,22.2948792691750057),(60.4482912140319328,22.2948961737711251),(60.4482881051129368,22.2948909841943568),(60.448277661843008,22.2949164782767184),(60.4482364697555354,22.2948460794577876),(60.4482658905119692,22.2947724457480945),(60.4482544666938537,22.294753206660971),(60.4482697845761052,22.2947148208186334),(60.4482952631190926,22.2947191551793402))",1565,1
4170,"Kitchen","((60.4484041987800182,22.2946004752884654),(60.4483729746833518,22.2945481656643132),(60.4483220635611573,22.2946733297430946),(60.4483539349393766,22.2947278369974811))",1565,1
4169,"DevOps Dungeon","((60.4484321007815097,22.2947015793761238),(60.4483804856771485,22.2948283203004394),(60.4483560994867517,22.2947864042362234),(60.4483540389358254,22.2947280701191666),(60.4483916132874555,22.2946348397817964))",1565,1
4168,"Meeting room","((60.4482770762963568,22.294916994287636),(60.4482361299894748,22.2948474349686876),(60.4482124923393087,22.2949056551442517),(60.4482532093663139,22.2949754266301206))",1565,1
4167,"Pingis Area","((60.4483947131533554,22.2947967192158174),(60.4484255399764407,22.2948476327292191),(60.4483885799530754,22.2949383288505523),(60.4483746102043682,22.2949743710341863),(60.4483466319324307,22.2949253539263808),(60.4483594028273856,22.2948921786155587),(60.4483732614808886,22.2948845563223657),(60.448389897670765,22.2948434640420672),(60.4483809197489705,22.2948284355516115))",1565,1
4166,"Lobby","((60.4484437386659437,22.2947206193930505),(60.4484331123222702,22.2947023547021743),(60.4483945200173167,22.294795993657317),(60.4484059034149652,22.2948142387031147))",1565,1
4165,"Team Hardware room","((60.4484442030960381,22.2947220272908453),(60.4484919004854007,22.2948014955909493),(60.4484545355339336,22.2948912408901343),(60.4484077185055142,22.2948131477460336))",1565,1
